#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0.228	-0.114	-0.333333	0.666667	0.333333
0.229	-0.1145	-0.333333	0.666667	0.333333
0.23	-0.115	-0.333333	0.666667	0.333333
0.231	-0.1155	-0.333333	0.666667	0.333333
0.232	-0.116	-0.333333	0.666667	0.333333
0.233	-0.1165	-0.333333	0.666667	0.333333
0.234	-0.117	-0.333333	0.666667	0.333333
0.235	-0.1175	-0.333333	0.666667	0.333333
0.236	-0.118	-0.333333	0.666667	0.333333
0.237	-0.1185	-0.333333	0.666667	0.333333
0.238	-0.119	-0.333333	0.666667	0.333333
0.239	-0.1195	-0.333333	0.666667	0.333333
0.24	-0.12	-0.333333	0.666667	0.333333
0.241	-0.1205	-0.333333	0.666667	0.333333
0.242	-0.121	-0.333333	0.666667	0.333333
0.243	-0.1215	-0.333333	0.666667	0.333333
0.244	-0.122	-0.333333	0.666667	0.333333
0.245	-0.1225	-0.333333	0.666667	0.333333
0.246	-0.123	-0.333333	0.666667	0.333333
0.247	-0.1235	-0.333333	0.666667	0.333333
0.248	-0.124	-0.333333	0.666667	0.333333
0.249	-0.1245	-0.333333	0.666667	0.333333
0.25	-0.125	-0.333333	0.666667	0.333333
0.251	-0.1255	-0.333333	0.666667	0.333333
0.252	-0.126	-0.333333	0.666667	0.333333
0.253	-0.1265	-0.333333	0.666667	0.333333
0.254	-0.127	-0.333333	0.666667	0.333333
0.255	-0.1275	-0.333333	0.666667	0.333333
0.256	-0.128	-0.333333	0.666667	0.333333
0.257	-0.1285	-0.333333	0.666667	0.333333
0.258	-0.129	-0.333333	0.666667	0.333333
0.259	-0.1295	-0.333333	0.666667	0.333333
0.26	-0.13	-0.333333	0.666667	0.333333
0.261	-0.1305	-0.333333	0.666667	0.333333
0.262	-0.131	-0.333333	0.666667	0.333333
0.263	-0.1315	-0.333333	0.666667	0.333333
0.264	-0.132	-0.333333	0.666667	0.333333
0.265	-0.1325	-0.333333	0.666667	0.333333
0.266	-0.133	-0.333333	0.666667	0.333333
0.267	-0.1335	-0.333333	0.666667	0.333333
0.268	-0.134	-0.333333	0.666667	0.333333
0.269	-0.1345	-0.333333	0.666667	0.333333
0.27	-0.135	-0.333333	0.666667	0.333333
0.271	-0.1355	-0.333333	0.666667	0.333333
0.272	-0.136	-0.333333	0.666667	0.333333
0.273	-0.1365	-0.333333	0.666667	0.333333
0.274	-0.137	-0.333333	0.666667	0.333333
0.275	-0.1375	-0.333333	0.666667	0.333333
0.276	-0.138	-0.333333	0.666667	0.333333
0.277	-0.1385	-0.333333	0.666667	0.333333
0.278	-0.139	-0.333333	0.666667	0.333333
0.279	-0.1395	-0.333333	0.666667	0.333333
0.28	-0.14	-0.333333	0.666667	0.333333
0.281	-0.1405	-0.333333	0.666667	0.333333
0.282	-0.141	-0.333333	0.666667	0.333333
0.283	-0.1415	-0.333333	0.666667	0.333333
0.284	-0.142	-0.333333	0.666667	0.333333
0.285	-0.1425	-0.333333	0.666667	0.333333
0.286	-0.143	-0.333333	0.666667	0.333333
0.287	-0.1435	-0.333333	0.666667	0.333333
0.288	-0.144	-0.333333	0.666667	0.333333
0.289	-0.1445	-0.333333	0.666667	0.333333
0.29	-0.145	-0.333333	0.666667	0.333333
0.291	-0.1455	-0.333333	0.666667	0.333333
0.292	-0.146	-0.333333	0.666667	0.333333
0.293	-0.1465	-0.333333	0.666667	0.333333
0.294	-0.147	-0.333333	0.666667	0.333333
0.295	-0.1475	-0.333333	0.666667	0.333333
0.296	-0.148	-0.333333	0.666667	0.333333
0.297	-0.1485	-0.333333	0.666667	0.333333
0.298	-0.149	-0.333333	0.666667	0.333333
0.299	-0.1495	-0.333333	0.666667	0.333333
0.3	-0.15	-0.333333	0.666667	0.333333
0.301	-0.1505	-0.333333	0.666667	0.333333
0.302	-0.151	-0.333333	0.666667	0.333333
0.303	-0.1515	-0.333333	0.666667	0.333333
0.304	-0.152	-0.333333	0.666667	0.333333
0.305	-0.1525	-0.333333	0.666667	0.333333
0.306	-0.153	-0.333333	0.666667	0.333333
0.307	-0.1535	-0.333333	0.666667	0.333333
0.308	-0.154	-0.333333	0.666667	0.333333
0.309	-0.1545	-0.333333	0.666667	0.333333
0.31	-0.155	-0.333333	0.666667	0.333333
0.311	-0.1555	-0.333333	0.666667	0.333333
0.312	-0.156	-0.333333	0.666667	0.333333
0.313	-0.1565	-0.333333	0.666667	0.333333
0.314	-0.157	-0.333333	0.666667	0.333333
0.315	-0.1575	-0.333333	0.666667	0.333333
0.316	-0.158	-0.333333	0.666667	0.333333
0.317	-0.1585	-0.333333	0.666667	0.333333
0.318	-0.159	-0.333333	0.666667	0.333333
0.319	-0.1595	-0.333333	0.666667	0.333333
0.32	-0.16	-0.333333	0.666667	0.333333
0.321	-0.1605	-0.333333	0.666667	0.333333
0.322	-0.161	-0.333333	0.666667	0.333333
0.323	-0.1615	-0.333333	0.666667	0.333333
0.324	-0.162	-0.333333	0.666667	0.333333
0.325	-0.1625	-0.333333	0.666667	0.333333
0.326	-0.163	-0.333333	0.666667	0.333333
0.327	-0.1635	-0.333333	0.666667	0.333333
0.328	-0.164	-0.333333	0.666667	0.333333
0.329	-0.1645	-0.333333	0.666667	0.333333
0.33	-0.165	-0.333333	0.666667	0.333333
0.331	-0.1655	-0.333333	0.666667	0.333333
0.332	-0.166	-0.333333	0.666667	0.333333
0.333	-0.1665	-0.333333	0.666667	0.333333
0.334	-0.167	-0.333333	0.666667	0.333333
0.335	-0.1675	-0.333333	0.666667	0.333333
0.336	-0.168	-0.333333	0.666667	0.333333
0.337	-0.1685	-0.333333	0.666667	0.333333
0.338	-0.169	-0.333333	0.666667	0.333333
0.339	-0.1695	-0.333333	0.666667	0.333333
0.34	-0.17	-0.333333	0.666667	0.333333
0.341	-0.1705	-0.333333	0.666667	0.333333
0.342	-0.171	-0.333333	0.666667	0.333333
0.343	-0.1715	-0.333333	0.666667	0.333333
0.344	-0.172	-0.333333	0.666667	0.333333
0.345	-0.1725	-0.333333	0.666667	0.333333
